Client id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction
29,Male,Loyal Customer,22,Personal Travel,Eco,2342,3,3,3,3,1,3,2,4,3,4,2,3,neutral or dissatisfied
100,Female,Loyal Customer,16,Personal Travel,Eco,332,2,2,3,2,4,3,5,4,5,4,4,3,neutral or dissatisfied
124,Male,Loyal Customer,62,Personal Travel,Eco,2521,4,4,4,1,1,5,3,5,4,1,4,1,neutral or dissatisfied
351,Female,Loyal Customer,34,Business travel,Business,1825,2,2,3,3,5,5,5,4,5,3,5,3,satisfied
416,Female,Loyal Customer,55,Business travel,Business,918,1,2,5,2,2,1,1,1,1,1,1,4,neutral or dissatisfied
501,Male,Loyal Customer,43,Business travel,Business,3677,4,4,4,4,4,4,4,4,4,4,4,5,satisfied
534,Female,Loyal Customer,64,Business travel,Business,3239,3,3,3,5,4,4,4,5,4,3,4,3,satisfied
637,Female,disloyal Customer,41,Business travel,Business,369,4,4,3,4,3,3,2,5,5,5,1,3,satisfied
770,Female,disloyal Customer,25,Business travel,Eco,1444,3,3,4,3,4,4,1,4,4,4,4,4,neutral or dissatisfied
789,Female,Loyal Customer,24,Personal Travel,Eco,605,2,2,2,2,5,2,5,4,5,3,5,2,neutral or dissatisfied
923,Male,Loyal Customer,45,Business travel,Eco,170,4,5,4,4,4,4,3,1,3,3,4,4,satisfied
950,Male,Loyal Customer,38,Business travel,Eco,308,2,3,2,2,2,2,2,3,2,3,2,2,neutral or dissatisfied
1432,Male,Loyal Customer,24,Personal Travel,Eco,1947,5,5,1,5,1,1,5,4,4,3,5,1,satisfied
1435,Male,Loyal Customer,37,Business travel,Eco,258,2,1,2,2,2,2,1,5,2,5,4,2,satisfied
1690,Male,Loyal Customer,23,Business travel,Business,489,1,5,1,1,1,1,2,1,2,2,3,1,neutral or dissatisfied
1706,Female,disloyal Customer,22,Business travel,Eco,320,4,4,5,4,5,5,4,2,4,4,3,5,satisfied
1723,Female,Loyal Customer,40,Personal Travel,Eco,1514,4,4,1,4,3,1,3,4,3,4,5,1,neutral or dissatisfied
1878,Female,disloyal Customer,30,Business travel,Eco,933,3,3,3,3,4,3,5,5,3,5,1,3,neutral or dissatisfied
1920,Female,disloyal Customer,42,Business travel,Business,431,3,3,3,3,3,3,5,2,4,5,5,3,neutral or dissatisfied
2059,Male,Loyal Customer,28,Personal Travel,Eco,140,2,2,5,2,5,5,3,5,3,1,4,5,neutral or dissatisfied
2157,Female,disloyal Customer,27,Business travel,Eco,272,2,2,3,2,4,3,1,2,1,4,3,3,neutral or dissatisfied
2175,Male,Loyal Customer,50,Business travel,Business,2475,5,5,2,3,5,4,4,4,4,5,4,4,satisfied
2477,Female,disloyal Customer,18,Business travel,Business,733,0,0,0,4,4,3,2,5,5,4,3,4,satisfied
3018,Female,Loyal Customer,80,Business travel,Business,3502,2,5,1,3,4,2,2,2,2,1,2,3,neutral or dissatisfied
3025,Male,Loyal Customer,67,Personal Travel,Eco,965,4,4,3,4,3,3,4,4,4,3,4,3,satisfied
3232,Male,Loyal Customer,27,Personal Travel,Eco Plus,2075,3,3,1,3,1,1,2,4,3,5,4,1,neutral or dissatisfied
3368,Female,disloyal Customer,56,Business travel,Eco,213,3,2,4,2,4,4,3,3,1,3,3,4,neutral or dissatisfied
3457,Female,disloyal Customer,43,Business travel,Business,296,4,4,2,4,2,2,1,5,3,1,3,2,neutral or dissatisfied
3707,Female,Loyal Customer,55,Personal Travel,Eco,687,2,1,2,4,4,4,4,1,4,3,4,3,neutral or dissatisfied
3762,Male,Loyal Customer,24,Business travel,Business,1750,3,3,5,4,5,5,3,4,3,5,5,5,satisfied
3816,Female,Loyal Customer,27,Business travel,Business,695,1,4,1,1,1,1,2,5,2,1,3,1,neutral or dissatisfied
3896,Female,Loyal Customer,52,Business travel,Business,2960,4,4,5,5,5,5,5,5,5,4,5,4,satisfied
3915,Female,Loyal Customer,42,Business travel,Business,951,4,4,5,4,4,5,5,5,5,3,5,4,satisfied
4087,Male,Loyal Customer,75,Business travel,Eco Plus,797,4,1,4,4,4,4,2,3,3,3,4,4,neutral or dissatisfied
4175,Female,Loyal Customer,41,Business travel,Business,2288,1,1,5,5,4,2,2,2,2,4,2,5,satisfied
4185,Male,Loyal Customer,53,Business travel,Eco,577,1,0,4,1,2,4,4,4,2,2,2,4,neutral or dissatisfied
4392,Female,Loyal Customer,79,Business travel,Eco Plus,913,4,4,1,3,5,4,4,4,4,1,4,2,satisfied
4406,Female,Loyal Customer,29,Business travel,Business,214,1,1,5,5,3,5,1,3,5,1,4,5,satisfied
4443,Female,disloyal Customer,46,Business travel,Business,967,4,4,5,4,5,5,3,2,5,4,4,5,neutral or dissatisfied
4446,Male,Loyal Customer,18,Personal Travel,Eco,448,2,2,5,2,5,5,4,1,2,1,4,5,neutral or dissatisfied
4492,Male,Loyal Customer,44,Business travel,Eco,680,5,3,5,5,5,5,3,4,3,1,2,5,satisfied
4563,Male,Loyal Customer,44,Business travel,Business,1048,4,4,4,4,2,3,3,3,3,2,3,1,satisfied
4612,Female,disloyal Customer,37,Business travel,Business,447,5,5,1,5,1,1,4,5,4,4,5,1,satisfied
4619,Male,Loyal Customer,23,Personal Travel,Eco,1609,1,1,5,1,3,5,5,3,3,4,5,5,neutral or dissatisfied
4710,Female,disloyal Customer,36,Business travel,Business,946,4,4,2,4,2,2,4,3,4,3,4,2,neutral or dissatisfied
4835,Male,Loyal Customer,55,Business travel,Business,3295,3,3,3,5,4,3,3,4,3,5,3,4,satisfied
4865,Female,Loyal Customer,58,Business travel,Business,767,5,5,5,5,4,5,5,5,5,5,5,4,satisfied
5274,Female,Loyal Customer,26,Business travel,Business,944,4,4,4,4,4,4,5,3,5,4,5,4,satisfied
5432,Male,Loyal Customer,49,Business travel,Business,1605,2,4,2,2,4,2,2,2,2,2,2,1,neutral or dissatisfied
5505,Male,disloyal Customer,58,Business travel,Business,272,2,2,4,2,4,4,3,3,2,5,1,4,satisfied
5580,Male,Loyal Customer,40,Business travel,Business,1073,3,3,4,5,4,4,4,4,4,3,4,3,satisfied
5585,Male,Loyal Customer,15,Personal Travel,Eco,1055,3,3,2,3,2,2,4,3,4,3,5,2,neutral or dissatisfied
5800,Male,Loyal Customer,8,Personal Travel,Eco,102,0,0,3,0,3,3,4,3,1,1,1,3,satisfied
5827,Female,Loyal Customer,52,Personal Travel,Business,757,2,2,4,4,4,3,3,2,3,4,3,4,neutral or dissatisfied
5850,Female,disloyal Customer,25,Business travel,Business,372,1,0,5,0,5,5,5,3,5,5,5,5,neutral or dissatisfied
6180,Male,disloyal Customer,29,Business travel,Business,929,3,2,4,2,4,4,5,2,4,4,4,4,neutral or dissatisfied
6266,Female,Loyal Customer,56,Personal Travel,Eco,472,3,3,3,4,4,4,4,3,4,3,4,4,neutral or dissatisfied
6326,Female,Loyal Customer,50,Business travel,Business,515,5,1,4,4,4,2,2,2,2,4,2,4,satisfied
6463,Male,Loyal Customer,36,Business travel,Business,332,0,0,2,2,1,2,2,2,2,3,2,5,satisfied
6492,Male,Loyal Customer,16,Business travel,Eco Plus,307,2,2,2,2,2,2,4,2,4,3,3,2,neutral or dissatisfied
6521,Female,Loyal Customer,22,Personal Travel,Business,209,2,2,1,2,3,1,3,3,2,4,2,1,neutral or dissatisfied
6548,Female,Loyal Customer,18,Business travel,Business,1670,3,3,5,5,5,5,4,5,4,1,3,5,satisfied
6712,Female,disloyal Customer,32,Business travel,Eco,927,2,2,1,2,1,1,4,1,3,2,4,1,neutral or dissatisfied
6950,Female,Loyal Customer,34,Business travel,Business,695,5,5,2,5,3,3,3,4,3,2,3,4,satisfied
7032,Female,Loyal Customer,30,Personal Travel,Business,762,4,4,5,4,4,5,3,4,4,3,4,5,neutral or dissatisfied
7121,Female,Loyal Customer,40,Business travel,Eco Plus,2075,3,5,3,3,3,3,2,4,3,1,4,3,neutral or dissatisfied
7182,Male,Loyal Customer,11,Personal Travel,Eco,479,2,1,4,1,1,4,3,3,3,5,1,4,neutral or dissatisfied
7235,Male,Loyal Customer,30,Business travel,Business,3462,4,4,4,4,4,4,5,4,4,5,4,4,satisfied
7289,Male,Loyal Customer,33,Business travel,Eco,214,1,4,1,1,1,1,4,5,3,4,3,1,neutral or dissatisfied
7361,Male,Loyal Customer,40,Business travel,Eco,562,4,5,4,4,4,4,1,5,3,4,3,4,neutral or dissatisfied
7840,Female,Loyal Customer,17,Personal Travel,Eco,2611,5,5,5,5,3,3,3,4,4,3,3,3,satisfied
7852,Male,Loyal Customer,40,Business travel,Business,2738,3,4,2,2,2,3,3,3,3,3,3,4,neutral or dissatisfied
7933,Female,Loyal Customer,20,Business travel,Business,1569,3,2,3,3,3,3,3,3,2,2,2,3,neutral or dissatisfied
7949,Male,Loyal Customer,27,Business travel,Eco Plus,1709,3,3,3,3,3,3,2,2,4,1,4,3,neutral or dissatisfied
8077,Female,disloyal Customer,50,Business travel,Eco,502,2,2,4,2,4,4,2,4,3,1,4,4,neutral or dissatisfied
8179,Female,disloyal Customer,26,Business travel,Eco,429,3,2,3,2,3,3,2,3,4,2,3,3,neutral or dissatisfied
8596,Male,Loyal Customer,49,Business travel,Business,3653,3,2,5,4,3,3,3,2,3,1,3,3,neutral or dissatisfied
8756,Male,Loyal Customer,26,Business travel,Business,2845,2,2,4,4,4,3,3,4,4,4,3,4,satisfied
8767,Male,Loyal Customer,55,Personal Travel,Eco,1379,2,2,5,2,5,5,4,3,3,3,3,5,neutral or dissatisfied
8835,Female,Loyal Customer,53,Business travel,Business,1416,2,2,2,5,4,5,5,5,5,4,5,3,satisfied
9421,Male,Loyal Customer,11,Personal Travel,Eco,235,5,5,1,5,1,1,4,4,5,3,5,1,satisfied
9478,Male,disloyal Customer,44,Business travel,Business,391,4,4,2,4,2,2,4,4,4,3,4,2,satisfied
9519,Male,disloyal Customer,18,Business travel,Business,828,5,5,4,5,2,4,2,1,3,3,5,4,satisfied
9587,Female,Loyal Customer,48,Business travel,Business,1144,3,2,2,3,2,3,3,3,3,2,3,1,neutral or dissatisfied
9636,Female,Loyal Customer,15,Personal Travel,Eco,197,4,4,2,4,2,2,3,2,4,3,4,2,neutral or dissatisfied
9785,Female,Loyal Customer,50,Personal Travel,Eco,164,3,3,1,1,2,1,1,3,1,3,1,1,neutral or dissatisfied
9815,Male,Loyal Customer,35,Business travel,Business,1979,1,4,4,3,4,1,1,1,1,3,1,2,neutral or dissatisfied
9860,Male,disloyal Customer,25,Business travel,Business,446,2,2,3,2,3,3,4,2,5,3,4,3,neutral or dissatisfied
10465,Female,Loyal Customer,55,Business travel,Business,731,5,5,4,5,4,5,5,5,5,3,5,5,satisfied
10676,Female,Loyal Customer,29,Business travel,Eco,3801,4,4,4,4,4,3,1,4,1,4,5,4,satisfied
10780,Female,Loyal Customer,28,Business travel,Business,2222,3,4,3,3,3,3,4,1,4,4,4,3,neutral or dissatisfied
10845,Female,Loyal Customer,23,Business travel,Business,3256,1,1,4,4,4,4,5,2,5,3,5,4,satisfied
10927,Male,Loyal Customer,16,Personal Travel,Eco,329,4,4,5,4,5,5,2,4,3,2,4,5,neutral or dissatisfied
10962,Male,Loyal Customer,29,Business travel,Business,1171,1,3,4,4,4,4,3,5,4,5,5,4,satisfied
10971,Male,Loyal Customer,58,Business travel,Business,1834,4,4,5,5,4,4,4,4,4,4,4,4,satisfied
11035,Female,Loyal Customer,45,Personal Travel,Eco,160,1,1,3,4,4,1,1,1,1,3,1,3,neutral or dissatisfied
11197,Female,Loyal Customer,41,Business travel,Eco,227,5,4,5,5,5,5,4,5,1,2,3,5,satisfied
11397,Female,Loyal Customer,34,Personal Travel,Eco,680,2,2,3,2,3,3,3,3,5,3,4,3,neutral or dissatisfied
11502,Male,Loyal Customer,65,Business travel,Business,3197,2,4,3,3,4,2,2,2,2,4,2,1,neutral or dissatisfied
12415,Male,Loyal Customer,49,Business travel,Business,3899,2,3,4,4,3,2,2,2,2,2,2,3,neutral or dissatisfied
12487,Male,Loyal Customer,40,Business travel,Business,503,2,2,2,4,5,5,5,5,5,3,5,4,satisfied
12600,Male,Loyal Customer,43,Business travel,Business,986,4,2,2,4,4,5,5,5,5,4,5,3,satisfied
12640,Male,Loyal Customer,16,Personal Travel,Eco,183,2,2,3,2,3,3,4,5,5,3,4,3,neutral or dissatisfied
12838,Female,Loyal Customer,66,Personal Travel,Eco,2701,3,2,2,3,3,5,4,4,5,3,4,3,neutral or dissatisfied
12994,Female,Loyal Customer,62,Business travel,Eco,482,4,3,4,2,3,4,4,4,4,3,4,3,neutral or dissatisfied
13228,Female,Loyal Customer,33,Business travel,Business,3214,5,5,5,4,4,4,4,4,4,3,4,4,satisfied
13252,Male,disloyal Customer,48,Business travel,Eco,1249,2,1,1,1,2,1,1,1,2,2,3,1,neutral or dissatisfied
13435,Male,Loyal Customer,42,Business travel,Business,2202,3,3,4,5,5,5,5,5,5,4,5,3,satisfied
13441,Female,Loyal Customer,44,Business travel,Business,1849,2,2,5,4,4,3,3,3,3,5,3,5,satisfied
13640,Female,disloyal Customer,17,Business travel,Business,591,4,4,2,4,2,2,3,4,5,5,5,2,satisfied
13814,Female,Loyal Customer,30,Personal Travel,Eco,689,4,4,1,4,1,1,1,3,4,5,4,1,satisfied
13872,Male,Loyal Customer,37,Personal Travel,Eco,2370,2,2,3,2,1,3,2,1,3,1,4,3,neutral or dissatisfied
13876,Male,Loyal Customer,65,Personal Travel,Eco,1045,2,2,4,2,5,4,1,1,3,3,4,4,neutral or dissatisfied
13914,Male,Loyal Customer,17,Personal Travel,Eco,110,2,2,1,2,1,1,4,5,2,3,2,1,neutral or dissatisfied
13933,Female,Loyal Customer,40,Business travel,Business,2265,0,1,1,2,5,2,2,2,2,2,2,3,satisfied
13973,Female,disloyal Customer,21,Business travel,Eco,807,2,2,2,2,2,2,1,1,3,1,2,2,neutral or dissatisfied
13994,Male,Loyal Customer,33,Business travel,Eco Plus,459,4,1,4,4,4,4,5,2,5,1,5,4,satisfied
14331,Male,disloyal Customer,23,Business travel,Eco,735,3,3,3,1,1,3,3,4,5,1,5,1,neutral or dissatisfied
14384,Male,Loyal Customer,13,Personal Travel,Eco,101,3,3,4,3,4,4,5,5,4,5,5,4,neutral or dissatisfied
14427,Female,Loyal Customer,53,Personal Travel,Eco,693,1,1,2,5,5,4,4,1,4,4,4,4,neutral or dissatisfied
14503,Female,Loyal Customer,35,Business travel,Eco,235,4,3,4,4,4,4,5,1,2,3,4,4,satisfied
14560,Female,Loyal Customer,40,Personal Travel,Eco,1438,4,4,5,4,4,5,5,2,5,5,4,5,neutral or dissatisfied
14863,Female,Loyal Customer,49,Business travel,Business,399,5,5,2,1,4,5,5,5,5,3,5,2,satisfied
14937,Male,Loyal Customer,43,Business travel,Business,589,5,5,5,5,4,4,4,4,4,3,4,4,satisfied
15337,Female,Loyal Customer,49,Personal Travel,Eco Plus,2358,2,2,2,2,2,3,4,5,4,2,5,2,neutral or dissatisfied
15400,Male,Loyal Customer,61,Personal Travel,Eco,859,4,5,1,5,1,1,4,5,4,4,4,1,satisfied
15584,Male,Loyal Customer,23,Business travel,Eco Plus,594,2,3,2,2,2,2,2,3,3,1,3,2,neutral or dissatisfied
15592,Male,Loyal Customer,32,Business travel,Business,170,2,5,4,5,4,4,3,3,3,2,3,4,satisfied
15611,Female,Loyal Customer,35,Business travel,Business,240,2,2,3,3,2,2,2,2,2,3,2,3,neutral or dissatisfied
16348,Male,Loyal Customer,39,Business travel,Business,3317,1,1,5,5,5,4,4,4,4,5,4,5,satisfied
16414,Female,disloyal Customer,34,Business travel,Eco Plus,315,4,4,4,4,4,4,2,4,2,5,4,4,neutral or dissatisfied
16828,Male,disloyal Customer,39,Business travel,Eco,1357,2,2,1,2,1,1,4,4,3,1,2,1,neutral or dissatisfied
16906,Female,Loyal Customer,59,Personal Travel,Eco,588,3,3,2,5,4,5,5,3,5,5,5,5,neutral or dissatisfied
16925,Female,Loyal Customer,45,Business travel,Business,3592,2,2,5,5,4,5,5,5,5,3,5,4,satisfied
16949,Female,Loyal Customer,57,Business travel,Eco,435,1,4,3,1,2,1,1,1,1,1,1,1,neutral or dissatisfied
17184,Female,disloyal Customer,22,Business travel,Eco,669,1,1,5,1,5,5,1,5,4,1,3,5,neutral or dissatisfied
17356,Female,Loyal Customer,16,Personal Travel,Eco,802,2,1,4,1,4,4,3,2,3,4,1,4,neutral or dissatisfied
17669,Female,Loyal Customer,23,Business travel,Business,2567,2,4,2,2,2,2,2,3,3,1,3,2,neutral or dissatisfied
17778,Male,Loyal Customer,49,Personal Travel,Eco,1773,1,1,1,1,1,1,1,3,3,4,3,1,neutral or dissatisfied
18135,Female,Loyal Customer,44,Business travel,Business,3025,1,3,3,4,4,4,3,4,5,4,4,4,satisfied
18304,Male,Loyal Customer,28,Personal Travel,Eco,731,1,0,4,0,4,4,3,3,5,4,3,4,neutral or dissatisfied
18418,Female,Loyal Customer,35,Business travel,Business,3991,3,5,3,3,3,3,3,3,3,2,3,1,neutral or dissatisfied
18628,Female,Loyal Customer,33,Business travel,Business,3107,2,4,3,4,4,1,1,1,2,1,1,1,neutral or dissatisfied
18844,Male,Loyal Customer,34,Personal Travel,Eco Plus,417,2,2,5,2,5,5,4,5,4,1,3,5,neutral or dissatisfied
18879,Male,Loyal Customer,36,Business travel,Business,1613,4,4,1,2,2,5,5,5,5,2,5,4,satisfied
18895,Male,Loyal Customer,26,Personal Travel,Eco,200,2,2,2,2,2,2,4,3,2,2,2,2,neutral or dissatisfied
18948,Female,Loyal Customer,62,Business travel,Business,461,3,4,3,3,4,3,3,3,3,4,3,2,neutral or dissatisfied
19243,Female,Loyal Customer,20,Personal Travel,Business,759,4,4,2,4,2,2,3,4,4,4,3,2,satisfied
19338,Male,disloyal Customer,20,Business travel,Eco,113,2,2,4,2,2,4,5,5,4,3,5,4,neutral or dissatisfied
19339,Female,Loyal Customer,32,Business travel,Business,1864,3,3,4,5,4,4,2,5,3,3,3,4,satisfied
19389,Male,Loyal Customer,29,Business travel,Business,936,4,4,4,4,4,4,4,4,5,3,5,4,satisfied
19679,Male,disloyal Customer,37,Business travel,Eco,255,3,2,1,2,1,1,1,4,4,1,1,1,neutral or dissatisfied
19712,Female,Loyal Customer,52,Business travel,Business,1841,1,1,2,5,5,5,5,5,5,5,5,5,satisfied
19753,Female,Loyal Customer,46,Personal Travel,Eco,641,2,2,3,2,4,2,2,2,2,5,2,2,neutral or dissatisfied
19946,Female,Loyal Customer,60,Business travel,Business,1908,4,4,5,5,4,3,3,3,3,4,3,3,satisfied
19947,Male,Loyal Customer,45,Business travel,Business,1847,4,4,4,4,5,4,4,4,4,3,4,3,satisfied
20076,Female,disloyal Customer,56,Business travel,Eco,249,3,3,2,3,2,2,2,3,1,3,1,2,neutral or dissatisfied
20146,Female,disloyal Customer,21,Business travel,Eco,715,3,4,3,4,3,3,1,5,1,4,5,3,neutral or dissatisfied
20220,Female,Loyal Customer,38,Business travel,Business,3228,0,0,4,4,4,4,4,4,4,3,4,5,satisfied
20628,Male,disloyal Customer,34,Business travel,Business,1995,3,3,3,3,3,3,3,2,4,3,5,3,neutral or dissatisfied
20632,Female,Loyal Customer,37,Business travel,Eco,305,3,1,3,4,3,3,4,3,2,5,3,3,satisfied
20868,Female,disloyal Customer,40,Business travel,Business,308,4,5,2,5,2,2,4,5,3,3,3,2,neutral or dissatisfied
21056,Female,Loyal Customer,60,Business travel,Business,446,1,1,2,4,4,3,3,3,3,5,3,4,satisfied
21065,Male,Loyal Customer,47,Business travel,Business,1726,3,3,5,4,5,5,5,5,5,4,5,5,satisfied
21095,Female,Loyal Customer,25,Business travel,Eco,776,4,3,4,4,1,4,2,1,2,2,2,4,neutral or dissatisfied
21118,Female,Loyal Customer,26,Business travel,Business,3043,2,2,2,2,2,2,4,4,1,2,2,2,neutral or dissatisfied
21240,Female,Loyal Customer,43,Personal Travel,Eco,1171,3,3,4,3,5,4,4,3,4,5,4,3,neutral or dissatisfied
21687,Female,Loyal Customer,41,Business travel,Business,163,0,0,4,5,5,5,5,5,5,1,5,2,satisfied
21755,Female,Loyal Customer,50,Business travel,Business,3279,1,5,4,4,4,4,4,4,4,4,4,5,satisfied
21818,Female,disloyal Customer,21,Business travel,Business,373,4,4,1,4,1,1,5,5,5,4,5,1,satisfied
21832,Female,Loyal Customer,58,Business travel,Business,731,2,2,4,5,4,5,5,5,5,4,5,4,satisfied
21912,Female,disloyal Customer,25,Business travel,Eco,522,2,2,5,2,5,5,3,1,1,2,3,5,neutral or dissatisfied
22167,Male,disloyal Customer,28,Business travel,Business,351,2,2,3,2,1,3,1,4,2,1,3,3,neutral or dissatisfied
22177,Female,Loyal Customer,53,Business travel,Business,3129,2,5,3,3,4,5,5,4,5,2,5,5,satisfied
22323,Male,Loyal Customer,54,Business travel,Business,2636,0,0,4,5,5,4,4,4,4,4,4,5,satisfied
22609,Female,Loyal Customer,43,Business travel,Business,259,2,2,5,4,4,5,5,5,5,4,5,4,satisfied
22716,Male,Loyal Customer,56,Personal Travel,Eco,707,3,3,1,3,1,1,5,5,1,5,3,1,neutral or dissatisfied
22786,Female,disloyal Customer,24,Business travel,Eco,405,1,1,3,1,3,3,4,5,5,5,5,3,neutral or dissatisfied
22858,Female,Loyal Customer,34,Business travel,Business,3389,1,1,3,5,5,5,5,5,5,5,5,5,satisfied
22892,Male,Loyal Customer,40,Business travel,Business,214,3,3,2,5,5,4,4,4,4,3,4,5,satisfied
22936,Male,Loyal Customer,37,Business travel,Business,463,5,4,4,2,3,4,4,4,4,5,4,2,satisfied
22972,Male,Loyal Customer,62,Personal Travel,Eco,2158,2,2,5,2,5,5,3,2,5,5,4,5,neutral or dissatisfied
23022,Female,Loyal Customer,46,Business travel,Business,2574,5,5,2,5,3,5,5,5,5,5,5,4,satisfied
23038,Male,Loyal Customer,39,Business travel,Eco,73,5,1,5,5,5,5,2,1,2,1,1,5,satisfied
23311,Male,Loyal Customer,41,Personal Travel,Eco Plus,235,1,1,2,1,1,2,3,5,2,1,2,2,neutral or dissatisfied
23326,Male,Loyal Customer,46,Personal Travel,Eco,328,3,4,5,4,5,5,2,5,4,2,5,5,neutral or dissatisfied
23377,Male,Loyal Customer,58,Business travel,Business,3030,1,5,3,3,3,1,1,1,1,3,1,3,neutral or dissatisfied
23414,Male,Loyal Customer,56,Personal Travel,Eco,1014,2,2,2,2,2,2,4,3,4,1,3,2,neutral or dissatisfied
23439,Male,Loyal Customer,39,Business travel,Business,1188,3,3,2,4,4,3,3,2,3,5,3,1,satisfied
23516,Male,Loyal Customer,30,Business travel,Business,3684,3,3,4,4,4,4,2,2,2,5,5,4,satisfied
23518,Male,disloyal Customer,40,Business travel,Eco,462,2,2,1,2,2,1,3,1,4,3,3,1,neutral or dissatisfied
23630,Female,Loyal Customer,45,Personal Travel,Eco,2139,0,0,2,5,5,1,1,0,1,5,1,4,satisfied
